n_citing_sources,arxiv_id,year,s2_citation_count,title,cited_by
3,2009.13081,2020,1744,What Disease does this Patient Have? A Large-scale Open Domain Question Answering Dataset from Medical Exams,2311.08877;2511.11500;2606.08571
3,,2023,1717,Holistic Evaluation of Language Models,2310.11732;2311.08877;2401.12794
3,2501.19393,2025,1283,s1: Simple test-time scaling,2506.09038;2511.11500;2606.05145
3,2402.04249,2024,1208,HarmBench: A Standardized Evaluation Framework for Automated Red Teaming and Robust Refusal,2506.09038;2511.11500;2604.03147
3,2503.20783,2025,1079,Understanding R1-Zero-Like Training: A Critical Perspective,2511.11500;2606.06475;2606.08543
3,2310.01405,2023,1065,Representation Engineering: A Top-Down Approach to AI Transparency,2312.07000;2401.13275;2604.03147
3,2309.01219,2023,1019,Siren's Song in the AI Ocean: A Survey on Hallucination in Large Language Models,2312.07000;2401.13275;2410.17234
3,2306.01116,2023,948,"The RefinedWeb Dataset for Falcon LLM: Outperforming Curated Corpora with Web Data, and Web Data Only",2311.08596;2311.09677;2403.18349
3,2307.15217,2023,881,Open Problems and Fundamental Limitations of Reinforcement Learning from Human Feedback,2310.06452;2402.01306;2502.08177
3,2304.07327,2023,869,OpenAssistant Conversations - Democratizing Large Language Model Alignment,2310.06452;2402.01306;2405.01525
3,1705.08500,2017,858,Selective Classification for Deep Neural Networks,2311.08877;2405.21028;2511.11500
3,1707.06209,2017,849,Crowdsourcing Multiple Choice Science Questions,2311.08596;2406.08391;2410.09724
3,2504.13837,2025,835,Does Reinforcement Learning Really Incentivize Reasoning Capacity in LLMs Beyond the Base Model?,2509.07430;2604.16027;2606.08543
3,,1983,828,The Comparison and Evaluation of Forecasters.,2310.11732;2311.08877;2311.13240
3,2110.08193,2021,769,BBQ: A hand-built bias benchmark for question answering,2506.09038;2509.04664;2604.17073
3,2211.08411,2022,652,Large Language Models Struggle to Learn Long-Tail Knowledge,2403.05612;2405.01525;2509.20088
3,2002.09437,2020,633,Calibrating Deep Neural Networks using Focal Loss,2410.09724;2505.01997;2505.20903
3,,2023,582,UltraFeedback: Boosting Language Models with High-quality Feedback,2312.07000;2403.18349;2410.09724
3,2308.05374,2023,544,Trustworthy LLMs: a Survey and Guideline for Evaluating Large Language Models' Alignment,2312.07000;2407.12043;2511.11500
3,2106.07998,2021,540,Revisiting the Calibration of Modern Neural Networks,2311.13240;2401.12794;2410.09724
3,2304.05302,2023,535,RRHF: Rank Responses to Align Language Models with Human Feedback without tears,2310.06452;2312.07000;2410.09724
3,2307.10169,2023,491,Challenges and Applications of Large Language Models,2312.07000;2401.12794;2403.18349
3,2305.13534,2023,428,How Language Model Hallucinations Can Snowball,2311.08401;2403.18349;2509.04664
3,2110.08420,2021,346,Understanding Dataset Difficulty with V-Usable Information,2402.01306;2403.18349;2410.09724
3,2405.09673,2024,331,LoRA Learns Less and Forgets Less,2405.05904;2407.12043;2605.21127
3,2006.09462,2020,266,Selective Question Answering under Domain Shift,2311.08877;2407.12043;2606.08571
3,2103.15025,2021,257,On Hallucination and Predictive Uncertainty in Conditional Language Generation,2311.13240;2506.18183;2606.03969
3,2305.15852,2023,176,"Self-contradictory Hallucinations of Large Language Models: Evaluation, Detection and Mitigation",2311.08401;2403.05612;2403.18349
3,2305.18248,2023,154,Do Language Models Know When They’re Hallucinating References?,2311.08401;2403.05612;2509.04664
3,2406.00922,2024,150,MediQ: Question-Asking LLMs and a Benchmark for Reliable Interactive Clinical Reasoning,2506.09038;2511.11500;2604.17073
3,2110.06674,2021,146,Truthful AI: Developing and governing AI that does not lie,2312.07000;2401.13275;2403.18349
3,2401.06730,2024,135,Relying on the Unreliable: The Impact of Language Models' Reluctance to Express Uncertainty,2405.21028;2510.05126;2606.03969
3,2307.11768,2023,122,Question Decomposition Improves the Faithfulness of Model-Generated Reasoning,2310.13548;2311.09677;2505.13995
3,2509.04259,2025,116,RL's Razor: Why Online Reinforcement Learning Forgets Less,2507.16806;2604.15574;2606.05145
3,2601.19897,2026,98,Self-Distillation Enables Continual Learning,2604.15574;2605.21127;2606.05145
3,,2023,78,Navigating the Grey Area: Expressions of Overconfidence and Uncertainty in Language Models,2310.11732;2311.08877;2312.07000
3,2402.13904,2024,78,Calibrating Large Language Models with Sample Consistency,2403.18349;2405.05904;2510.05126
3,2505.23646,2025,59,Are Reasoning Models More Prone to Hallucination?,2507.16806;2511.11500;2604.17073
3,2212.10003,2022,54,(QA)^2: Question Answering with Questionable Assumptions,2407.12043;2506.09038;2604.17073
3,2305.13712,2023,53,Knowledge of Knowledge: Exploring Known-Unknowns Uncertainty with Large Language Models,2312.07000;2407.12043;2506.09038
3,2403.03558,2024,51,Benchmarking Hallucination in Large Language Models Based on Unanswerable Math Word Problem,2506.09038;2511.11500;2604.17073
3,2307.02394,2023,50,Won’t Get Fooled Again: Answering Questions with False Premises,2311.09677;2506.09038;2604.17073
3,2503.14477,2025,38,Calibrating Verbal Uncertainty as a Linear Feature to Reduce Hallucinations,2506.09038;2511.11500;2606.03969
3,,2023,,Vicuna: An Open-Source Chatbot Impressing GPT-4 with 90%* ChatGPT Quality,2310.11732;2407.12043;2505.01997
3,,,,2023. Semantic uncertainty: Linguistic invariances for uncertainty estimation in natural language generation,2311.13240;2405.05904;2603.24967
3,,2023,,Reinforcement learning from human feedback: Progress and challenges,2312.07000;2405.05904;2604.15574
